id,left,top,right,bottom
"1825",-2.609329566,52.914690177,-2.609229566,52.914790177
"1826",-2.609329566,52.914590177,-2.609229566,52.914690177
"1827",-2.609329566,52.914490177,-2.609229566,52.914590177
"1828",-2.609329566,52.914390177,-2.609229566,52.914490177
"1829",-2.609329566,52.914290177,-2.609229566,52.914390177
"1830",-2.609329566,52.914190177,-2.609229566,52.914290177
"1831",-2.609329566,52.914090177,-2.609229566,52.914190177
"1832",-2.609329566,52.913990177,-2.609229566,52.914090177
"1833",-2.609329566,52.913890177,-2.609229566,52.913990177
"1869",-2.609229566,52.914690177,-2.609129566,52.914790177
"1870",-2.609229566,52.914590177,-2.609129566,52.914690177
"1871",-2.609229566,52.914490177,-2.609129566,52.914590177
"1872",-2.609229566,52.914390177,-2.609129566,52.914490177
"1873",-2.609229566,52.914290177,-2.609129566,52.914390177
"1874",-2.609229566,52.914190177,-2.609129566,52.914290177
"1875",-2.609229566,52.914090177,-2.609129566,52.914190177
"1876",-2.609229566,52.913990177,-2.609129566,52.914090177
"1877",-2.609229566,52.913890177,-2.609129566,52.913990177
"1913",-2.609129566,52.914690177,-2.609029566,52.914790177
"1914",-2.609129566,52.914590177,-2.609029566,52.914690177
"1915",-2.609129566,52.914490177,-2.609029566,52.914590177
"1916",-2.609129566,52.914390177,-2.609029566,52.914490177
"1917",-2.609129566,52.914290177,-2.609029566,52.914390177
"1918",-2.609129566,52.914190177,-2.609029566,52.914290177
"1919",-2.609129566,52.914090177,-2.609029566,52.914190177
"1920",-2.609129566,52.913990177,-2.609029566,52.914090177
"1957",-2.609029566,52.914690177,-2.608929566,52.914790177
"1958",-2.609029566,52.914590177,-2.608929566,52.914690177
"1959",-2.609029566,52.914490177,-2.608929566,52.914590177
"1960",-2.609029566,52.914390177,-2.608929566,52.914490177
"1961",-2.609029566,52.914290177,-2.608929566,52.914390177
"1962",-2.609029566,52.914190177,-2.608929566,52.914290177
"1963",-2.609029566,52.914090177,-2.608929566,52.914190177
"1964",-2.609029566,52.913990177,-2.608929566,52.914090177
"2001",-2.608929566,52.914690177,-2.608829566,52.914790177
"2002",-2.608929566,52.914590177,-2.608829566,52.914690177
"2003",-2.608929566,52.914490177,-2.608829566,52.914590177
"2004",-2.608929566,52.914390177,-2.608829566,52.914490177
"2005",-2.608929566,52.914290177,-2.608829566,52.914390177
"2006",-2.608929566,52.914190177,-2.608829566,52.914290177
"2007",-2.608929566,52.914090177,-2.608829566,52.914190177
"2045",-2.608829566,52.914690177,-2.608729566,52.914790177
"2046",-2.608829566,52.914590177,-2.608729566,52.914690177
"2047",-2.608829566,52.914490177,-2.608729566,52.914590177
"2048",-2.608829566,52.914390177,-2.608729566,52.914490177
"2049",-2.608829566,52.914290177,-2.608729566,52.914390177
"2050",-2.608829566,52.914190177,-2.608729566,52.914290177
"2051",-2.608829566,52.914090177,-2.608729566,52.914190177
"2089",-2.608729566,52.914690177,-2.608629566,52.914790177
"2090",-2.608729566,52.914590177,-2.608629566,52.914690177
"2091",-2.608729566,52.914490177,-2.608629566,52.914590177
"2092",-2.608729566,52.914390177,-2.608629566,52.914490177
"2093",-2.608729566,52.914290177,-2.608629566,52.914390177
"2094",-2.608729566,52.914190177,-2.608629566,52.914290177
"2095",-2.608729566,52.914090177,-2.608629566,52.914190177
"2133",-2.608629566,52.914690177,-2.608529566,52.914790177
"2134",-2.608629566,52.914590177,-2.608529566,52.914690177
"2135",-2.608629566,52.914490177,-2.608529566,52.914590177
"2136",-2.608629566,52.914390177,-2.608529566,52.914490177
"2137",-2.608629566,52.914290177,-2.608529566,52.914390177
"2138",-2.608629566,52.914190177,-2.608529566,52.914290177
"2177",-2.608529566,52.914690177,-2.608429566,52.914790177
"2178",-2.608529566,52.914590177,-2.608429566,52.914690177
"2179",-2.608529566,52.914490177,-2.608429566,52.914590177
"2180",-2.608529566,52.914390177,-2.608429566,52.914490177
"2181",-2.608529566,52.914290177,-2.608429566,52.914390177
"2182",-2.608529566,52.914190177,-2.608429566,52.914290177
"2221",-2.608429566,52.914690177,-2.608329566,52.914790177
"2222",-2.608429566,52.914590177,-2.608329566,52.914690177
"2223",-2.608429566,52.914490177,-2.608329566,52.914590177
"2224",-2.608429566,52.914390177,-2.608329566,52.914490177
"2225",-2.608429566,52.914290177,-2.608329566,52.914390177
"2265",-2.608329566,52.914690177,-2.608229566,52.914790177
"2266",-2.608329566,52.914590177,-2.608229566,52.914690177
"2267",-2.608329566,52.914490177,-2.608229566,52.914590177
"2268",-2.608329566,52.914390177,-2.608229566,52.914490177
"2269",-2.608329566,52.914290177,-2.608229566,52.914390177
"2309",-2.608229566,52.914690177,-2.608129566,52.914790177
"2310",-2.608229566,52.914590177,-2.608129566,52.914690177
"2311",-2.608229566,52.914490177,-2.608129566,52.914590177
"2312",-2.608229566,52.914390177,-2.608129566,52.914490177
"2313",-2.608229566,52.914290177,-2.608129566,52.914390177
"2353",-2.608129566,52.914690177,-2.608029566,52.914790177
"2354",-2.608129566,52.914590177,-2.608029566,52.914690177
"2355",-2.608129566,52.914490177,-2.608029566,52.914590177
"2356",-2.608129566,52.914390177,-2.608029566,52.914490177
"472",-2.612429566,52.913590177,-2.612329566,52.913690177
"473",-2.612429566,52.913490177,-2.612329566,52.913590177
"474",-2.612429566,52.913390177,-2.612329566,52.913490177
"475",-2.612429566,52.913290177,-2.612329566,52.913390177
"476",-2.612429566,52.913190177,-2.612329566,52.913290177
"477",-2.612429566,52.913090177,-2.612329566,52.913190177
"478",-2.612429566,52.912990177,-2.612329566,52.913090177
"479",-2.612429566,52.912890177,-2.612329566,52.912990177
"480",-2.612429566,52.912790177,-2.612329566,52.912890177
"515",-2.612329566,52.913690177,-2.612229566,52.913790177
"516",-2.612329566,52.913590177,-2.612229566,52.913690177
"517",-2.612329566,52.913490177,-2.612229566,52.913590177
"518",-2.612329566,52.913390177,-2.612229566,52.913490177
"519",-2.612329566,52.913290177,-2.612229566,52.913390177
"520",-2.612329566,52.913190177,-2.612229566,52.913290177
"521",-2.612329566,52.913090177,-2.612229566,52.913190177
"522",-2.612329566,52.912990177,-2.612229566,52.913090177
"523",-2.612329566,52.912890177,-2.612229566,52.912990177
"524",-2.612329566,52.912790177,-2.612229566,52.912890177
"558",-2.612229566,52.913790177,-2.612129566,52.913890177
"559",-2.612229566,52.913690177,-2.612129566,52.913790177
"560",-2.612229566,52.913590177,-2.612129566,52.913690177
"561",-2.612229566,52.913490177,-2.612129566,52.913590177
"562",-2.612229566,52.913390177,-2.612129566,52.913490177
"563",-2.612229566,52.913290177,-2.612129566,52.913390177
"564",-2.612229566,52.913190177,-2.612129566,52.913290177
"565",-2.612229566,52.913090177,-2.612129566,52.913190177
"566",-2.612229566,52.912990177,-2.612129566,52.913090177
"567",-2.612229566,52.912890177,-2.612129566,52.912990177
"568",-2.612229566,52.912790177,-2.612129566,52.912890177
"1472",-2.610129566,52.914790177,-2.610029566,52.914890177
"1516",-2.610029566,52.914790177,-2.609929566,52.914890177
"1560",-2.609929566,52.914790177,-2.609829566,52.914890177
"1604",-2.609829566,52.914790177,-2.609729566,52.914890177
"1648",-2.609729566,52.914790177,-2.609629566,52.914890177
"1692",-2.609629566,52.914790177,-2.609529566,52.914890177
"1736",-2.609529566,52.914790177,-2.609429566,52.914890177
"1780",-2.609429566,52.914790177,-2.609329566,52.914890177
"1824",-2.609329566,52.914790177,-2.609229566,52.914890177
"1868",-2.609229566,52.914790177,-2.609129566,52.914890177
"1912",-2.609129566,52.914790177,-2.609029566,52.914890177
"1956",-2.609029566,52.914790177,-2.608929566,52.914890177
"2000",-2.608929566,52.914790177,-2.608829566,52.914890177
"2044",-2.608829566,52.914790177,-2.608729566,52.914890177
"2088",-2.608729566,52.914790177,-2.608629566,52.914890177
"2132",-2.608629566,52.914790177,-2.608529566,52.914890177
"2176",-2.608529566,52.914790177,-2.608429566,52.914890177
"2220",-2.608429566,52.914790177,-2.608329566,52.914890177
"2264",-2.608329566,52.914790177,-2.608229566,52.914890177
"342",-2.612729566,52.913390177,-2.612629566,52.913490177
"343",-2.612729566,52.913290177,-2.612629566,52.913390177
"344",-2.612729566,52.913190177,-2.612629566,52.913290177
"345",-2.612729566,52.913090177,-2.612629566,52.913190177
"346",-2.612729566,52.912990177,-2.612629566,52.913090177
"385",-2.612629566,52.913490177,-2.612529566,52.913590177
"386",-2.612629566,52.913390177,-2.612529566,52.913490177
"387",-2.612629566,52.913290177,-2.612529566,52.913390177
"388",-2.612629566,52.913190177,-2.612529566,52.913290177
"389",-2.612629566,52.913090177,-2.612529566,52.913190177
"390",-2.612629566,52.912990177,-2.612529566,52.913090177
"428",-2.612529566,52.913590177,-2.612429566,52.913690177
"429",-2.612529566,52.913490177,-2.612429566,52.913590177
"430",-2.612529566,52.913390177,-2.612429566,52.913490177
"431",-2.612529566,52.913290177,-2.612429566,52.913390177
"432",-2.612529566,52.913190177,-2.612429566,52.913290177
"433",-2.612529566,52.913090177,-2.612429566,52.913190177
"434",-2.612529566,52.912990177,-2.612429566,52.913090177
"1515",-2.610029566,52.914890177,-2.609929566,52.914990177
"1559",-2.609929566,52.914890177,-2.609829566,52.914990177
"1602",-2.609829566,52.914990177,-2.609729566,52.915090177
"1603",-2.609829566,52.914890177,-2.609729566,52.914990177
"1646",-2.609729566,52.914990177,-2.609629566,52.915090177
"1647",-2.609729566,52.914890177,-2.609629566,52.914990177
"1690",-2.609629566,52.914990177,-2.609529566,52.915090177
"1691",-2.609629566,52.914890177,-2.609529566,52.914990177
"1734",-2.609529566,52.914990177,-2.609429566,52.915090177
"1735",-2.609529566,52.914890177,-2.609429566,52.914990177
"1778",-2.609429566,52.914990177,-2.609329566,52.915090177
"1779",-2.609429566,52.914890177,-2.609329566,52.914990177
"1822",-2.609329566,52.914990177,-2.609229566,52.915090177
"1823",-2.609329566,52.914890177,-2.609229566,52.914990177
"1866",-2.609229566,52.914990177,-2.609129566,52.915090177
"1867",-2.609229566,52.914890177,-2.609129566,52.914990177
"1910",-2.609129566,52.914990177,-2.609029566,52.915090177
"1911",-2.609129566,52.914890177,-2.609029566,52.914990177
"1954",-2.609029566,52.914990177,-2.608929566,52.915090177
"1955",-2.609029566,52.914890177,-2.608929566,52.914990177
"1998",-2.608929566,52.914990177,-2.608829566,52.915090177
"1999",-2.608929566,52.914890177,-2.608829566,52.914990177
"2042",-2.608829566,52.914990177,-2.608729566,52.915090177
"2043",-2.608829566,52.914890177,-2.608729566,52.914990177
"2086",-2.608729566,52.914990177,-2.608629566,52.915090177
"2087",-2.608729566,52.914890177,-2.608629566,52.914990177
"2130",-2.608629566,52.914990177,-2.608529566,52.915090177
"2131",-2.608629566,52.914890177,-2.608529566,52.914990177
"255",-2.612929566,52.913290177,-2.612829566,52.913390177
"256",-2.612929566,52.913190177,-2.612829566,52.913290177
"298",-2.612829566,52.913390177,-2.612729566,52.913490177
"299",-2.612829566,52.913290177,-2.612729566,52.913390177
"300",-2.612829566,52.913190177,-2.612729566,52.913290177
